,KIC ID,teff
12448,10055337,4019.0
22856,10065745,3719.0
24451,10067340,3602.0
38151,10081040,3800.0
39010,10081899,3690.0
48897,10091786,3722.0
54088,10096977,3714.0
78849,10121738,3679.0
85871,10128760,3663.0
89061,10131950,3630.0
103650,10146539,3654.0
122926,10165815,3847.0
145571,10188460,3850.0
153996,10196885,3692.0
181706,10224595,3528.0
181722,10224611,3516.0
226727,10269616,3559.0
231201,10274090,3516.0
242753,10285642,3723.0
277663,10320552,4001.0
277767,10320656,3845.0
289843,10332732,3546.0
293735,10336624,3541.0
320185,10363074,3711.0
342002,10384891,3900.0
345394,10388283,3643.0
369155,10412044,3758.0
409363,10452252,
409951,10452840,3545.0
429071,10471960,3814.0
446286,10489175,
475869,10518758,3919.0
479168,10522057,3515.0
482310,10525199,3953.0
493872,10536761,3687.0
495113,10538002,
505619,10548508,3543.0
505751,10548640,3564.0
510624,10553513,3651.0
541174,10584063,3525.0
544348,10587237,4010.0
549138,10592027,3678.0
579622,10622511,3600.0
604192,10647081,
633237,10676126,3818.0
634508,10677397,3660.0
666730,10709619,3528.0
667344,10710233,3716.0
667864,10710753,4020.0
670268,10713157,3826.0
688950,10731839,3396.0
710183,10753072,3664.0
741861,10784750,3575.0
747923,10790812,4007.0
747949,10790838,3816.0
750868,10793757,3688.0
753662,10796551,3918.0
757441,10800330,3733.0
758384,10801273,3981.0
814694,10857583,3717.0
817852,10860741,
829979,10872868,3674.0
837625,10880514,3570.0
862303,10905192,3720.0
862857,10905746,
864511,10907400,3507.0
864526,10907415,3499.0
866478,10909367,3910.0
877392,10920281,3846.0
878120,10921009,
893281,10936170,3906.0
895299,10938188,3657.0
917934,10960823,3722.0
923283,10966172,3687.0
932349,10975238,3893.0
948266,10991155,3434.0
974986,11017875,3850.0
982881,11025770,3502.0
984988,11027877,3541.0
988857,11031746,3733.0
994609,11037498,4011.0
999986,11042875,4018.0
1026145,11069034,3654.0
1042961,11085850,3988.0
1048447,11091336,3830.0
1049894,11092783,3967.0
1081314,11124203,3725.0
1084193,11127082,3748.0
1094834,11137723,3503.0
1102667,11145556,4045.0
1102930,11145819,3510.0
1104382,11147271,3521.0
1153528,11196417,
1155530,11198419,3942.0
1198220,11241109,3573.0
1199835,11242724,3578.0
1201261,11244150,3910.0
1208569,11251458,3964.0
1251060,11293949,
1300572,11343461,3691.0
1306667,11349556,3842.0
1307174,11350063,3736.0
1352317,11395206,3678.0
1365859,11408748,4015.0
1403184,11446073,3976.0
1425205,11468094,3736.0
1450778,11493667,3958.0
1452682,11495571,3523.0
1455217,11498106,3746.0
1469381,11512270,3715.0
1471383,11514272,3844.0
1472387,11515276,3826.0
1478385,11521274,3668.0
1507539,11550428,3659.0
1512916,11555805,4010.0
1554780,11597669,3733.0
1612970,11655859,3870.0
1613509,11656398,3916.0
1629167,11672056,3653.0
1631978,11674867,3575.0
1659278,11702167,3689.0
1660567,11703456,4014.0
1712209,11755098,3676.0
1717132,11760021,3740.0
1721166,11764055,3836.0
1731461,11774350,3776.0
1765845,11808734,3809.0
1777616,11820505,3721.0
1777819,11820708,3617.0
1812445,11855334,3548.0
1812964,11855853,3512.0
1825320,11868209,
1826801,11869690,3875.0
1827880,11870769,3688.0
1870058,11912947,3698.0
1875432,11918321,
1882915,11925804,
1912319,11955208,3757.0
1918186,11961075,3606.0
1961983,12004872,3686.0
1964655,12007544,3873.0
1979518,12022407,3860.0
2017821,12060710,3730.0
2916497,892376,3813.0
3596923,1572802,3990.0
3897006,1872885,3688.0
3897664,1873543,3702.0
4181477,2157356,3813.0
4307870,2283749,3528.0
4324160,2300039,3644.0
4448809,2424688,4009.0
4465683,2441562,3806.0
4466125,2442004,4038.0
4579517,2555396,3600.0
4581790,2557669,3782.0
4594967,2570846,3865.0
4601864,2577743,3511.0
4737207,2713086,4034.0
4856841,2832720,3703.0
4858685,2834564,3648.0
4858733,2834612,3870.0
4858758,2834637,3521.0
5016789,2992668,3726.0
5126884,3102763,3662.0
5127873,3103752,3535.0
5133946,3109825,3832.0
5154512,3130391,4014.0
5240821,3216700,4010.0
5243167,3219046,
5347929,3323808,3536.0
5359315,3335194,4020.0
5466155,3442034,3724.0
5468943,3444822,3678.0
5474074,3449953,3683.0
5478914,3454793,3641.0
5549904,3525783,4029.0
5569225,3545104,3705.0
5655169,3631048,3517.0
5664648,3640527,3657.0
5670855,3646734,3726.0
5754962,3730841,4015.0
5757874,3733753,3821.0
5772293,3748172,4035.0
5856032,3831911,3953.0
5958211,3934090,3905.0
5959620,3935499,3942.0
5964493,3940372,3605.0
6067510,4043389,3713.0
6092015,4067894,3532.0
6098189,4074068,3690.0
6101988,4077867,3734.0
6167011,4142890,3519.0
6167034,4142913,
6199828,4175707,3825.0
6266635,4242514,3709.0
6272554,4248433,
6288755,4264634,4020.0
6299351,4275230,4000.0
6379624,4355503,3658.0
6381641,4357520,3814.0
6407369,4383248,3846.0
6495058,4470937,
6568744,4544623,3826.0
6569109,4544988,
6684376,4660255,3997.0
6686552,4662431,3656.0
6750313,4726192,3908.0
6755646,4731525,3555.0
6765576,4741455,3898.0
6782716,4758595,3519.0
6838350,4814229,3658.0
6843887,4819766,3828.0
6866009,4841888,
6868925,4844804,4010.0
6928768,4904647,3512.0
6933307,4909186,3525.0
6977479,4953358,3843.0
7021300,4997179,3514.0
7041025,5016904,3660.0
7065313,5041192,3693.0
7107451,5083330,3923.0
7119219,5095098,4063.0
7134953,5110832,3660.0
7276488,5252367,3499.0
7286682,5262561,3756.0
7293025,5268904,3661.0
7312655,5288534,3956.0
7365607,5341486,3716.0
7375441,5351320,3595.0
7378462,5354341,
7384250,5360129,3882.0
7452209,5428088,3821.0
7454616,5430495,4042.0
7460044,5435923,3649.0
7461580,5437459,3965.0
7540792,5516671,3818.0
7621725,5597604,3740.0
7627605,5603484,3509.0
7631516,5607395,3975.0
7632123,5608002,3540.0
7645649,5621528,3717.0
7673206,5649085,3690.0
7709825,5685704,3957.0
7733314,5709193,3940.0
7763372,5739251,3813.0
7809927,5785806,3925.0
7815841,5791720,3533.0
7879217,5855096,4022.0
7879929,5855808,3731.0
7879972,5855851,3504.0
7882482,5858361,3636.0
7883486,5859365,3808.0
7891863,5867742,3690.0
7928396,5904275,3608.0
7965347,5941226,3819.0
7967012,5942891,3934.0
7987077,5962956,3695.0
7990790,5966669,
7991042,5966921,3831.0
8053174,6029053,3600.0
8061130,6037009,3538.0
8063003,6038882,3971.0
8073591,6049470,
8084966,6060845,3733.0
8123906,6099785,3678.0
8126459,6102338,3624.0
8141723,6117602,
8141953,6117832,3961.0
8153572,6129451,3728.0
8207857,6183736,3718.0
8210203,6186082,3817.0
8211933,6187812,3529.0
8212063,6187942,3691.0
8248183,6224062,3830.0
8314932,6290811,3689.0
8334386,6310265,3730.0
8380265,6356144,3863.0
8390451,6366330,3820.0
8394295,6370174,3660.0
8413854,6389733,3659.0
8450049,6425928,3947.0
8450110,6425989,3804.0
8460412,6436291,3515.0
8484933,6460812,3514.0
8527225,6503104,3662.0
8532009,6507888,4036.0
8545647,6521526,3587.0
8554913,6530792,3613.0
8573019,6548898,3665.0
8574138,6550017,3547.0
8624892,6600771,3908.0
8631781,6607660,3659.0
8634027,6609906,3805.0
8634958,6610837,3640.0
8688760,6664639,3741.0
8692767,6668646,3731.0
8693149,6669028,3959.0
8697069,6672948,3659.0
8716441,6692320,3694.0
8717163,6693042,3510.0
8718287,6694166,3598.0
8740081,6715960,3652.0
8744886,6720765,3706.0
8775232,6751111,3725.0
8787188,6763067,3846.0
8790784,6766663,3903.0
8807490,6783369,3677.0
8828139,6804018,
8870691,6846570,3913.0
8887847,6863726,3671.0
8888416,6864295,3730.0
8949377,6925256,3514.0
8952327,6928206,3832.0
8973447,6949326,3942.0
8973533,6949412,3848.0
9042444,7018323,3830.0
9050323,7026202,3565.0
9057951,7033830,3613.0
9117842,7093721,3830.0
9124694,7100573,3532.0
9130928,7106807,
9141414,7117293,3621.0
9141737,7117616,
9147512,7123391,
9147621,7123500,3584.0
9155636,7131515,3676.0
9214580,7190459,3808.0
9215432,7191311,3746.0
9216320,7192199,4027.0
9240011,7215890,3799.0
9305074,7280953,
9307486,7283365,3829.0
9324443,7300322,3734.0
9365774,7341653,
9374188,7350067,3537.0
9377013,7352892,3542.0
9405848,7381727,4012.0
9446932,7422811,3809.0
9455780,7431659,3626.0
9458231,7434110,3618.0
9469726,7445605,3969.0
9472178,7448057,3969.0
9473816,7449695,3906.0
9529765,7505644,3521.0
9533402,7509281,3676.0
9558576,7534455,3907.0
9572090,7547969,3723.0
9616254,7592133,3654.0
9617111,7592990,4004.0
9685524,7661403,3715.0
9694821,7670700,3722.0
9695151,7671030,3657.0
9702538,7678417,3516.0
9710595,7686474,3899.0
9716575,7692454,3659.0
9758503,7734382,
9765104,7740983,3727.0
9766108,7741987,3704.0
9766218,7742097,4009.0
9767951,7743830,3916.0
9775463,7751342,3855.0
9824208,7800087,3828.0
9833876,7809755,3937.0
9854462,7830341,3880.0
9871687,7847566,3565.0
9873740,7849619,3878.0
9895559,7871438,3863.0
9901330,7877209,3708.0
9913294,7889173,4027.0
9922902,7898781,3724.0
9962736,7938615,3825.0
9963686,7939565,3593.0
9973967,7949846,3680.0
9978316,7954195,3555.0
9980586,7956465,3586.0
9997796,7973675,3687.0
10012055,7987934,3734.0
10029526,8005405,3661.0
10031355,8007234,3676.0
10037064,8012943,3690.0
10100112,8075991,3913.0
10117594,8093473,3595.0
10122349,8098228,3837.0
10173737,8149616,3517.0
10173903,8149782,4020.0
10174600,8150479,3690.0
10207715,8183594,3685.0
10220570,8196449,3706.0
10234444,8210323,3815.0
10257916,8233795,3839.0
10302565,8278444,3833.0
10313581,8289460,3642.0
10316879,8292758,4034.0
10326676,8302555,3679.0
10350083,8325962,3975.0
10367906,8343785,3954.0
10397844,8373723,3676.0
10438371,8414250,3696.0
10439125,8415004,3893.0
10440341,8416220,3540.0
10441174,8417053,3788.0
10445250,8421129,3520.0
10447721,8423600,4025.0
10448123,8424002,
10478474,8454353,3699.0
10481075,8456954,3619.0
10499018,8474897,3648.0
10532100,8507979,3512.0
10578339,8554218,3984.0
10585184,8561063,
10589325,8565204,3674.0
10596187,8572066,4024.0
10605601,8581480,3669.0
10607877,8583756,3860.0
10631849,8607728,
10634489,8610368,4006.0
10635997,8611876,3504.0
10668686,8644565,3925.0
10696399,8672278,4000.0
10697479,8673358,3680.0
10697683,8673562,3714.0
10705648,8681527,4059.0
10761564,8737443,3707.0
10773890,8749769,3651.0
10800686,8776565,3692.0
10827192,8803071,3715.0
10831206,8807085,3826.0
10838896,8814775,3535.0
10849164,8825043,
10856797,8832676,3895.0
10860509,8836388,3728.0
10891730,8867609,4031.0
10894043,8869922,
10896686,8872565,
10905509,8881388,
10957653,8933532,3902.0
10959776,8935655,3533.0
10960063,8935942,3718.0
10971376,8947255,3691.0
10980146,8956025,3759.0
10981144,8957023,3553.0
11002031,8977910,3512.0
11026195,9002074,3715.0
11041814,9017693,3524.0
11043556,9019435,3672.0
11046122,9022001,3801.0
11053098,9028977,3516.0
11101497,9077376,3882.0
11115030,9090909,3514.0
11117884,9093763,3574.0
11166835,9142714,3665.0
11177875,9153754,
11204027,9179906,3686.0
11225584,9201463,
11227915,9203794,3526.0
11229976,9205855,3612.0
11231245,9207124,3718.0
11240196,9216075,4047.0
11246417,9222296,3513.0
11253919,9229798,3618.0
11291939,9267818,3732.0
11292602,9268481,3543.0
11352042,9327921,3976.0
11352774,9328653,3545.0
11357626,9333505,3522.0
11359319,9335198,3840.0
11419326,9395205,3891.0
11421093,9396972,
11431702,9407581,3679.0
11449756,9425635,3849.0
11450629,9426508,3560.0
11452216,9428095,3684.0
11477132,9453011,
11498710,9474589,3232.0
11512312,9488191,3911.0
11539132,9515011,4024.0
11554632,9530511,3514.0
11564588,9540467,3757.0
11565694,9541573,3539.0
11606006,9581885,3738.0
11613001,9588880,3865.0
11614370,9590249,3941.0
11617890,9593769,
11620741,9596620,3910.0
11655487,9631366,3827.0
11655669,9631548,3630.0
11664538,9640417,3723.0
11667331,9643210,3514.0
11683157,9659036,3973.0
11716327,9692206,3836.0
11728552,9704431,3619.0
11729200,9705079,3550.0
11737317,9713196,3764.0
11739581,9715460,
11750820,9726699,
11785234,9761113,3531.0
11801500,9777379,
11808941,9784820,3435.0
11810998,9786877,3719.0
11814695,9790574,4033.0
11846117,9821996,3549.0
11849719,9825598,
11852413,9828292,3859.0
11897850,9873729,3832.0
11916772,9892651,3815.0
11957585,9933464,3659.0
11965839,9941718,3724.0
11966352,9942231,3724.0
11969892,9945771,3921.0
12015609,9991488,3661.0
12016907,9992786,3535.0
12071872,12071873,3530.0
12072636,12072637,3602.0
12105693,12105694,3896.0
12105866,12105867,3614.0
12108565,12108566,3711.0
12117671,12117672,
12156320,12156321,3533.0
12158721,12158722,3910.0
12203081,12203082,3915.0
12207431,12207432,3863.0
12257337,12257338,3819.0
12258224,12258225,3974.0
12302529,12302530,4351.0
12304012,12304013,3739.0
12305236,12305237,3522.0
12314645,12314646,3716.0
12356050,12356051,3686.0
12356488,12356489,3817.0
12365718,12365719,3735.0
12403317,12403318,3540.0
12456780,12456781,3995.0
12505053,12505054,3711.0
12506639,12506640,3562.0
12508766,12508767,3504.0
12555641,12555642,
12599415,12599416,3724.0
12644135,12644136,
12688402,12688403,3706.0
12689926,12689927,3852.0
12835231,12835232,3900.0
